customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,ValorCliente,GastoVsTiempo,Churn
4950-BDEUX,Male,0,No,No,35.0,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,-0.3688941585115573,-0.4600153101461674,No
7993-NQLJE,Male,0,Yes,Yes,15.0,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,-0.5723534669898691,0.731816268583903,No
7321-ZNSLA,Male,0,Yes,Yes,13.0,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,Two year,No,Mailed check,-1.341574928001201,-0.11432539082435395,No
4922-CVPDX,Female,0,Yes,No,26.0,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),-0.12415364289513806,0.39710627530614606,No
2903-YYTBW,Male,0,Yes,Yes,1.0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,-1.7133635329227523,0.30247800504754696,No
8414-OOEEL,Male,0,No,Yes,66.0,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),1.856658622955677,-0.5237475705488892,No
8562-GHPPI,Female,0,No,No,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),-2.121379446980832,-0.3496157614309253,No
8017-UVSZU,Female,0,Yes,No,40.0,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),0.06391170746469899,-0.407221963117553,No
1972-XMUWV,Female,0,Yes,No,65.0,Yes,No,DSL,No,No,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),1.1102908917654188,-0.9795910283104718,No
2054-PJOCK,Female,0,No,No,60.0,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),1.6332021354045652,-0.3382576866715802,No
8250-ZNGGW,Female,1,No,No,5.0,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),-1.3013876407356568,0.6018445119414861,No
2075-RMJIK,Female,0,Yes,Yes,5.0,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,-1.4875326865480962,0.3264604872593994,No
6629-LADHQ,Female,0,No,No,2.0,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,-1.5637241796982717,0.44440873888382537,No
1810-MVMAI,Male,0,Yes,Yes,30.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,-0.09964163199342284,0.14018680889109922,No
0396-YCHWO,Male,0,Yes,No,36.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.9186453701755339,0.6839420703929425,No
1303-SRDOK,Female,0,Yes,Yes,55.0,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),1.0387655598560857,-0.4899799986384269,No
2455-USLMV,Female,0,No,No,31.0,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),0.3798100030357413,0.5505928605216742,No
5697-GOMBF,Female,1,Yes,Yes,28.0,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,-0.9582362681620399,-0.6176781652051054,No
7469-LKBCI,Male,0,No,No,16.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),-1.6987239454833203,-0.7505930300663713,No
7787-BNTZM,Male,0,No,No,6.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),-1.9678012413212544,-0.4668060898947412,No
6726-WEXXK,Male,1,Yes,No,27.0,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Electronic check,0.1913538797532574,0.6906450916463882,No
5995-LFTLE,Male,0,No,No,58.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),-0.29005120684949565,-1.651182505084799,No
2984-TBYKU,Male,0,Yes,Yes,72.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),3.145532520989829,-0.0732205227298331,No
7746-AWNQW,Female,0,No,No,28.0,No,No phone service,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,-0.964233050860517,-0.6212894457528266,No
4851-BQDNX,Male,0,Yes,Yes,40.0,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,0.8090450561873137,0.31565279120980283,No
4745-LSPLO,Male,0,No,No,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,-2.109839602946866,-0.3311727054093119,Yes
6941-PMGEP,Female,0,No,No,5.0,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,-0.9395805090678605,1.128478986066942,Yes
9728-FTTVZ,Female,0,No,No,1.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,-1.306996168012382,0.9519370492372177,Yes
7145-FEJWU,Female,0,No,Yes,12.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,-0.11654675392308696,1.5988399310426824,No
0306-JAELE,Male,0,No,No,5.0,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,-0.6669414365653685,1.5519707694764506,Yes
9435-JMLSX,Male,0,Yes,No,71.0,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),2.3267036574736064,-0.49690886295640413,No
5835-BEQEU,Male,0,No,No,3.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,-1.0888577304993894,1.1025408412492657,Yes
1577-HKTFG,Female,0,Yes,No,30.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),-1.267679660524237,-1.086648738445749,Yes
9621-OUPYD,Female,0,Yes,No,25.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),-1.4175315879014745,-0.9446713944999782,No
2207-RYYRL,Male,0,Yes,Yes,52.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,-0.4827354893355483,-1.5189633776854043,No
0691-IFBQW,Female,1,No,No,46.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,1.794327749042571,0.7829665221499554,Yes
8270-RKSAP,Male,0,No,No,9.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,-0.9468944391102713,0.7740478748849431,No
0168-XZKBB,Female,0,Yes,No,19.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,-0.1692977823969641,0.931455911955259,No
6789-HJBWG,Female,0,No,No,12.0,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,-1.2151865088034666,0.14315762901244652,No
7856-GANIL,Male,1,Yes,No,45.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),1.48655713185569,0.5194151603263439,No
8123-QBNAZ,Female,0,Yes,Yes,36.0,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),1.127391138294325,0.9180222200080178,No
6075-SLNIL,Male,0,No,No,38.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),1.0232535102755824,0.6205960181556961,No
3373-YZZYM,Male,0,Yes,Yes,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,-2.1312707418670884,-0.36542409516373664,No
1455-UGQVH,Male,0,Yes,No,10.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,-0.3422209441618595,1.4755093850576086,Yes
3640-JQGJG,Male,0,Yes,Yes,13.0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),-1.281821353503115,-0.0013526338687812082,No
3230-WYKIR,Male,0,No,No,18.0,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),-0.3114412731351401,0.8321096363144073,Yes
2580-ASVVY,Female,0,Yes,No,37.0,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,Two year,No,Electronic check,-0.41577788226025414,-0.6065059342874015,No
2739-CCZMB,Male,0,No,Yes,5.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),-1.990171970703005,-0.4366308471279061,No
4503-BDXBD,Male,0,No,No,11.0,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,-0.7651888450522228,0.8359680183058494,Yes
9974-JFBHQ,Male,0,No,Yes,64.0,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),2.412592089232847,0.016386121931148964,No
4727-MCYZG,Male,0,No,No,1.0,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,-1.5320231266747169,0.592297456815757,No
3990-QYKBE,Male,1,Yes,No,37.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.8945831131271776,0.5828152183114459,Yes
6891-JPYFF,Female,0,Yes,Yes,48.0,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),1.7994078723938776,0.6049060007271833,No
1626-ERCMM,Male,1,Yes,No,20.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.07616901723967828,1.1004431514884183,Yes
8663-UPDGF,Female,0,No,No,26.0,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),-0.219699776572376,0.29458040964739257,No
0839-QNXME,Female,0,No,No,30.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),-1.2942553505108663,-1.091063981980098,No
8990-YOZLV,Female,0,No,No,69.0,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Two year,Yes,Mailed check,1.5419709558786057,-0.9126478096412644,No
1187-WILMM,Male,0,Yes,Yes,63.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),2.0645254611346298,-0.19995881859724018,No
4903-UYAVB,Male,0,Yes,No,5.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,-2.0051867189707258,-0.4631203059309402,Yes
4884-LEVMQ,Male,0,Yes,No,39.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),-1.007448261084477,-1.291273656139717,No
0702-PGIBZ,Male,0,No,Yes,4.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,-0.6252640229022408,1.7268362098410721,Yes
3716-LRGXK,Male,0,Yes,No,60.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),2.3222139856634123,0.1707035129326403,No
5449-FIBXJ,Male,0,Yes,Yes,19.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,0.22765893952354418,1.352704445314806,Yes
6688-UZPWD,Female,0,Yes,No,11.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,-0.23106995529027258,1.540131875631407,Yes
1254-IZEYF,Female,1,No,No,31.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.792913879030249,0.9353528756722075,Yes
0215-BQKGS,Male,0,No,No,30.0,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),0.2984804145636591,0.5683080280790678,No
3785-KTYSH,Male,0,No,No,53.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,-0.47395055285281484,-1.5408393506445086,No
8481-YYXWG,Female,0,No,No,5.0,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,-0.7738353980355437,1.3737031237900492,Yes
0549-CYCQN,Male,1,No,No,51.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),1.155550976465492,-0.11679728467282259,No
2194-IIQOF,Female,0,Yes,No,71.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),2.478346508763189,-0.4221613546540227,No
2481-SBOYW,Female,0,No,Yes,61.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),-0.21851759656346603,-1.7337533685689919,No
3488-PGMQJ,Male,1,No,No,8.0,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,-0.9027322965532963,0.9039665548311118,Yes
8735-DCXNF,Male,0,Yes,No,10.0,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),-1.1840414492975746,0.3400680355025269,No
7176-WIONM,Female,0,Yes,No,12.0,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),-1.2062972944294013,0.15487164339704013,No
8548-AWOFC,Male,0,Yes,No,66.0,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,1.3319319351403176,-0.9102862101787563,No
6620-HVDUJ,Male,0,No,No,24.0,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),-0.517167125287437,0.11532453479279942,No
8976-OQHGT,Female,0,Yes,Yes,4.0,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,-1.3949448941797,0.5383146810135043,Yes
4951-UKAAQ,Female,0,No,No,4.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,-0.8344638358863062,1.3908133552245612,Yes
6693-DJWTY,Female,0,No,Yes,35.0,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Credit card (automatic),-0.17356974458873187,-0.3000793324134677,No
6563-VNPMN,Female,1,No,No,45.0,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),1.058274448410648,0.197594476002207,No
6333-YDVLT,Male,0,No,No,65.0,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),2.893190368379958,0.2506495883456828,No
6551-GNYDG,Female,0,Yes,Yes,14.0,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),-0.5011968135416951,0.9094190725835832,No
2405-LBMUW,Female,0,Yes,Yes,61.0,No,No phone service,DSL,Yes,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),0.6608569402801693,-1.1007003415793881,No
9541-ZPSEA,Male,0,Yes,Yes,68.0,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,No,Credit card (automatic),1.9688377397422099,-0.5556930443308365,No
6543-JXSOO,Female,0,Yes,Yes,23.0,Yes,No,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Mailed check,-0.6300118948385276,0.07321908099620188,No
6968-GMKPR,Female,0,No,No,55.0,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,1.4354192243521566,-0.1790712338819215,No
4195-PNGZS,Male,0,Yes,Yes,69.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),0.021676435427314712,-1.9517380882522952,No
4646-QZXTF,Female,0,Yes,No,7.0,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),-0.824258345597632,1.1074061629437526,No
7564-GHCVB,Female,0,Yes,Yes,72.0,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),2.1438705552095816,-0.6986383350462648,No
1534-OULXE,Female,0,Yes,Yes,61.0,Yes,No,DSL,Yes,No,No,No,No,No,One year,Yes,Bank transfer (automatic),0.6075737449408456,-1.1234888500392581,No
8348-JLBUG,Male,1,Yes,No,64.0,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,One year,No,Credit card (automatic),1.7713893308272655,-0.44830101347398466,No
8290-YWKHZ,Female,1,Yes,No,32.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.6322821737450637,0.7398587629310016,Yes
6618-RYATB,Female,0,No,No,1.0,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,-1.1363713312244579,1.224630806128215,Yes
0641-EVBOJ,Male,0,No,No,3.0,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,-1.006295773097206,1.2440434866616612,No
3039-MJSLN,Male,0,No,Yes,3.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),-2.0596635234075666,-0.3892546205146147,No
8661-BOYNW,Female,0,Yes,No,72.0,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),2.3370294895938124,-0.567831548787724,No
4310-KEDTB,Female,0,No,Yes,26.0,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,-1.157794238598706,-0.7239753398312401,No
1116-DXXDF,Male,0,No,No,39.0,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,1.1652084564728316,0.7339312972682183,No
8605-ITULD,Female,0,No,No,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,-2.1255008198501053,-0.35620256715293025,No
8566-YPRGL,Female,0,No,No,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,-2.1263250944239602,-0.35751992829733104,No
4355-CVPVS,Female,0,Yes,Yes,56.0,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Bank transfer (automatic),1.7111129060665655,-0.022786781586471967,No
8327-LZKAS,Female,1,Yes,No,43.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,1.5859671601203782,0.8019307232271413,Yes
2080-SRCDE,Female,0,No,Yes,1.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,-2.0290606947091048,-0.20207131325801836,No
4903-CNOZC,Male,0,No,No,29.0,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,One year,No,Credit card (automatic),-0.07970267342451023,0.2528890415481114,No
7314-OXENN,Male,0,No,No,2.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,-1.0429524010084912,1.261629552684796,Yes
6869-FGJJC,Male,0,No,No,68.0,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Credit card (automatic),1.9818257392286283,-0.5779052706853778,No
9350-VLHMB,Male,0,Yes,Yes,67.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),2.385330060226376,-0.31648650120188276,No
2995-YWTCD,Female,0,Yes,Yes,19.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),-1.4919307191848374,-0.6716102661432996,No
8165-CBKXO,Male,0,Yes,Yes,66.0,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),1.0549671048080718,-1.0818858014094808,No
7853-OETYL,Female,0,Yes,No,4.0,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,-1.8702026268084193,-0.18271826782362457,No
3352-RICWQ,Female,0,Yes,Yes,9.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,-1.8815341394844745,-0.5535959866023095,No
6646-VRFOL,Male,1,Yes,No,53.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,2.0345295795552296,0.430931888924887,Yes
9391-TTOYH,Female,0,No,No,23.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,-1.4861153183598206,-0.9127508097997045,No
9101-BWFSS,Female,0,Yes,No,50.0,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,No,Electronic check,2.0777031449797385,0.6253521647016749,Yes
2080-GKCWQ,Male,0,No,No,2.0,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,-1.1667035737363192,1.0766097102159722,No
1074-WVEVG,Female,0,Yes,No,59.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,-0.40746654049851794,-1.800561313666818,No
0459-SPZHJ,Male,0,Yes,Yes,63.0,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),1.9216097746733993,-0.35099248716554104,No
8851-RAGOV,Female,0,Yes,No,25.0,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,-0.20676770715709838,0.3590625876709395,No
9921-ZVRHG,Female,0,No,No,14.0,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,-0.5320161197307653,0.8998259224367389,Yes
9253-VIFJQ,Male,0,Yes,No,65.0,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,One year,No,Credit card (automatic),1.3737105504696236,-0.8024902496216284,No
8169-SAEJD,Male,1,Yes,No,69.0,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,Two year,No,Credit card (automatic),1.1922649310820943,-1.1680225835336964,No
1396-QWFBJ,Female,0,Yes,Yes,21.0,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),-0.32993749767040637,0.5444928088516475,Yes
5681-LLOEI,Male,0,Yes,Yes,43.0,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),1.1705288116413597,0.3866607830206648,No
8752-GHJFU,Male,1,Yes,No,71.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,Yes,Electronic check,2.5793134884517244,-0.35648374040600844,No
9862-KJTYK,Male,0,No,Yes,19.0,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),-1.4559856544838936,-0.6625128292844286,No
0362-RAOQO,Female,0,No,No,40.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),-0.9855473329606242,-1.3381683874612915,No
